编号,名称,地点,劫难类型,简介,经度,纬度,主要人物
1,金蝉遭贬,灵山,前世,金蝉子因轻慢佛法，被如来佛祖贬下真灵，转生东土。,85,24.08,金蝉子 | 如来佛祖
2,出胎几杀,江州,身世劫难,殷温娇产子后，为保性命将其放入江中漂流，险些溺亡。,115.99,29.71,唐僧（婴儿）| 殷温娇 | 刘洪
3,满月抛江,金山寺,身世劫难,法明和尚救起婴儿，抚养于金山寺，十八年后才知身世。,119.44,32.21,唐僧（婴儿）| 殷温娇 | 法明和尚
4,寻亲报冤,江州,身世劫难,玄奘寻得母亲与外公，惩治刘洪，为父报仇，沉冤得雪。,115.99,29.71,唐僧 | 殷温娇 | 刘洪 | 殷开山
5,出城逢虎,双叉岭,妖怪袭击,唐僧刚出长安边界，便遇猛虎，幸得太白金星解救脱险。,107.15,34.37,唐僧 | 太白金星 | 猛虎
6,落坑折从,双叉岭,道路阻隔,唐僧与随从落入陷阱，两名随从被妖怪吃掉，唐僧被缚。,107.15,34.37,唐僧 | 随从 | 熊精 | 虎精
7,双叉岭上,双叉岭,妖怪袭击,唐僧被熊精、牛精、虎精擒获，太白金星再次化身相救。,107.15,34.37,唐僧 | 太白金星 | 熊精 | 牛精 | 虎精
8,两界山头,两界山,神佛考验,唐僧揭去压帖，救出孙悟空，收为大徒弟，踏上西行路。,96.93,40.27,唐僧 | 孙悟空
9,陡涧换马,蛇盘山鹰愁涧,妖怪袭击,小白龙吞食唐僧白马，孙悟空与之打斗，后观音点化龙马。,95,41,唐僧 | 孙悟空 | 小白龙 | 观音菩萨
10,夜被火烧,观音院,师徒心性,院主贪恋袈裟放火谋害，悟空借避火罩护师，反烧寺院。,94,41.5,唐僧 | 孙悟空 | 金池长老
11,失却袈裟,黑风山,妖怪袭击,黑熊怪趁火打劫盗走锦襕袈裟，悟空与之争斗未能夺回。,93.5,41.8,唐僧 | 孙悟空 | 黑熊怪
12,收降八戒,高老庄,妖怪袭击,猪八戒强占高翠兰，悟空与其大战，最终收服其为二徒弟。,92.5,42,唐僧 | 孙悟空 | 猪八戒 | 高翠兰
13,黄风怪阻,黄风岭,妖怪袭击,黄风怪用三昧神风吹走悟空，掳走唐僧，悟空难以近身。,91.5,42.2,唐僧 | 孙悟空 | 黄风怪
14,请求灵吉,小须弥山,神佛考验,悟空求助灵吉菩萨，得定风丹与飞龙杖，降伏黄风怪。,91,42.3,孙悟空 | 灵吉菩萨 | 黄风怪
15,流沙难渡,流沙河,道路阻隔,流沙河宽八百里的弱水，鹅毛飘不起，芦花定底沉，难渡。,90,42.5,唐僧 | 孙悟空 | 猪八戒 | 沙僧
16,收得沙僧,流沙河,妖怪袭击,沙悟净在河中作祟，经木叉行者点化，拜唐僧为师，渡河。,90,42.5,唐僧 | 孙悟空 | 猪八戒 | 沙僧 | 木叉行者
17,四圣显化,莫家庄,神佛考验,黎山老母与三菩萨化身母女试禅心，八戒动凡心被吊树上。,89.5,42.7,唐僧 | 猪八戒 | 黎山老母 | 观音菩萨 | 文殊菩萨 | 普贤菩萨
18,五庄观中,万寿山五庄观,师徒心性,童子辱骂唐僧，悟空怒推人参果树，惹下大祸，连夜逃走。,89.19,42.91,唐僧 | 孙悟空 | 猪八戒 | 沙僧 | 镇元子
19,难活人参,万寿山五庄观,神佛考验,悟空四处求方，终请观音菩萨用甘露水救活人参果树。,89.19,42.91,孙悟空 | 观音菩萨 | 镇元子 | 唐僧
20,贬退心猿,白虎岭,师徒心性,白骨精三次变化迷惑唐僧，悟空打死妖精却被误解驱逐。,88.5,42.8,唐僧 | 孙悟空 | 白骨精 | 猪八戒
